SUZ12_(05-1317) 	SUZ12 (05-1317) 	Mouse monoclonal recombinant protein corresponding to human SUZ12. Antibody Target: SUZ12 	Bernstein 	http://www.millipore.com/catalogue/item/05-1317&open&cid=BIOS-A-BIOC-2538-1102-RC 	SUZ12 	GeneCard:SUZ12 	HISase 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUZ12 	Millipore 	05-1317 	Human_-_SUZ12_(05-1317)(ChIP-String,ChIP-seq):human_SUZ12_validation_Bernstein.pdf
IRF4_(SC-6059) 	IRF4 (sc-6059) 	Goat polyclonal IgG, epitope mapping at the C-terminus of IRF-4 of mouse origin. Antibody Target: IRF4 	Myers 	http://www.scbt.com/datasheet-6059-irf-4-m-17-antibody.html 	IRF4 	GeneCard:IRF4 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF4 	Santa Cruz Biotechnology 	sc-6059 	Human_-_IRF4_(SC-6059)(Immunoprecipitation-Western_blot,MassSpec):human_IRF4_SC-6059_validation_Myers.pdf
FOSL1_(sc-605) 	FOSL1 (sc-605) 	Rabbit polyclonal antibody raised against the N-terminus of FOSL1 of rat origin. Antibody Target: FOSL1 	Wold 	http://www.scbt.com/datasheet-605-fra-1-r-20-antibody.html 	FOSL1 	GeneCard:FOSL1 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=FOSL1 	Santa Cruz Biotechnology 	sc-605 	Mouse_-_:missing
Pol2-4H8 	Pol2-4H8 (ab5408) 	Mouse monoclonal to RNA polymerase II CTD repeat YSPTSPS antibody (4H8) - ChIP Grade. Antibody Target: POLR2A 	Myers 	http://www.abcam.com/RNA-polymerase-II-CTD-repeat-YSPTSPS-antibody-4H8-ChIP-Grade-ab5408.html 	POLR2A 	GeneCard:POLR2A 	Pol2 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2A 	abcam 	ab5408 	Human_-_Pol2-4H8(ChIP,MassSpec):human_Pol2-4H8_validation_Myers.pdf Mouse_-_Pol2-4H8(ab5408)(Western_blot):mouse_Pol2-4H8_ab5408_validation_Hardison.pdf
NELFe 	NELF-E (sc-32912) 	Rabbit polyclonal NELF-E (RDBP). Antibody Target: RDBP 	Struhl 	http://www.scbt.com/datasheet-32912-nelf-e-h-140-antibody.html 	RDBP 	GeneCard:RDBP 	TFNS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=RDBP 	Santa Cruz Biotechnology 	sc-32912 	Human_-_NELFe_(SC-32912)(Western_blot,ChIP-Seq):human_NELFe_sc-32912_validation_Struhl.pdf Mouse_-_:missing
TRIM28_(SC-81411) 	TRIM28 (sc-81411) 	Mouse monoclonal IgG, raised against a recombinant protein corresponding to an internal region of TRIM28 of human origin. Antibody Target: TRIM28 	Myers 	http://www.scbt.com/datasheet-81411-tif1beta-tri5i093-antibody.html 	TRIM28 	GeneCard:TRIM28 	HISase 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM28 	Santa Cruz Biotechnology 	sc-81411 	Human_-_TRIM28_(sc-81411)(Western_blot,ChIP):human_TRIM28_sc-81411_validation_Myers.pdf
CTCF_(2899) 	CTCF (2899) 	Rabbit polyclonal, detects endogenous levels of total CTCF protein and doesn't cross-react with BORIS. Antibody Target: CTCF 	Stam 	http://www.cellsignal.com/products/2899.html 	CTCF 	GeneCard:CTCF 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTCF 	Cell Signaling Technology 	2899 	CTCF_(2899)(Western_blot):human_CTCF_2899_validation_Stam.pdf
CHD1_(A301-218A) 	CHD1 (A301-218A) 	Rabbit polyclonal Antigen Affinity Purified, Unconjugated, Liquid. Antibody Target: CHD1 	Bernstein 	http://www.bethyl.com/product/A301-218A 	CHD1 	GeneCard:CHD1 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD1 	Bethyl Laboratories 	A301-218A 	Human_-_CHD1_(A301-218A)(ChIP-String,ChIP-seq):human_CHD1_validation_Bernstein.pdf
HMGN3 	HMGN3 (NB100-61076) 	Rabbit polyclonal. Raised against an amino acids 60 to 99 of human HMGN3. Vendor recommeds its use for detection of HMGN3 in human samples using immunohistochemistry. Antibody Target: HMGN3 	Struhl 	http://www.novusbio.com/HMGN3-Antibody_NB100-61076.html 	HMGN3 	GeneCard:HMGN3 	TFNS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGN3 	Novus Biologicals 	NB100-61076 	Human_-_HMGN3_(NB100-61076)(Western_blot,Immunoprecipitation):human_HMGN3_validation_Struhl.pdf
GR 	GR (sc-1003) 	Rabbit polyclonal. Anti-GR. Antibody Target: NR3C1 	Myers 	http://www.scbt.com/product.php?datasheet=1003 	NR3C1 	GeneCard:NR3C1 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1 	Santa Cruz Biotechnology 	sc-1003 	Human_-_GR(Immunoblot):human_GR_M-20_validation_Myers.pdf
SMC3_(ab9263) 	SMC3 (ab9263) 	Rabbit polyclonal raised against synthetic peptide representing a portion within the last 100 amino acids of the human Structural Maintenance of Chromosomes-3 conjugated to KLH. Antibody Target: SMC3 	Snyder 	http://www.abcam.com/SMC3-antibody-ab9263.html 	SMC3 	GeneCard:SMC3 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC3 	abcam 	ab9263 	Human_-_SMC3(Immunoprecipitation,ChIP):human_SMC3_validation_Snyder.pdf Mouse_-_SMC3(Immunoprecipitation,ChIP):mouse_SMC3_validation_Snyder.pdf
